glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a,temp_usv,glyphsapp_name,to_review
LtnSmABreveDotBlw.sc,uni1EB7.sc,41000.3321,41000.3321,smcp,smcp,,1EB7,1EB7,,abrevedotbelow.sc,
LtnSmABreveAcute.sc,uni1EAF.sc,41000.33231,41000.33231,smcp,smcp,,1EAF,1EAF,,abreveacute.sc,
LtnSmABreveAcute.VN.sc,uni1EAF.VN.sc,41000.33231,41000.33231,smcp,smcp,,1EAF,1EAF,,abreveacute.VN.sc,
LtnSmABreveGrave.sc,uni1EB1.sc,41000.33231,41000.33231,smcp,smcp,,1EB1,1EB1,,abrevegrave.sc,
LtnSmABreveGrave.VN.sc,uni1EB1.VN.sc,41000.33231,41000.33231,smcp,smcp,,1EB1,1EB1,,abrevegrave.VN.sc,
LtnSmABreveTilde.sc,uni1EB5.sc,41000.33234,41000.33234,smcp,smcp,,1EB5,1EB5,,abrevetilde.sc,
LtnSmABreveTilde.VN.sc,uni1EB5.VN.sc,41000.33234,41000.33234,smcp,smcp,,1EB5,1EB5,,abrevetilde.VN.sc,
LtnSmABreveHookAbv.sc,uni1EB3.sc,41000.33238,41000.33238,smcp,smcp,,1EB3,1EB3,,abrevehookabove.sc,
LtnSmABreveHookAbv.VN.sc,uni1EB3.VN.sc,41000.33238,41000.33238,smcp,smcp,,1EB3,1EB3,,abrevehookabove.VN.sc,
CySmABreve.sc,uni04D1.sc,41000.333,41000.333,smcp,smcp,,04D1,04D1,,abreve-cy.sc,
LtnSmACaron.sc,uni01CE.sc,41000.334,41000.334,smcp,smcp,,01CE,01CE,,acaron.sc,
LtnSmATilde.sc,atilde.sc,41000.34,41000.34,smcp,smcp,,00E3,00E3,,atilde.sc,
LtnSmAMacron.sc,amacron.sc,41000.35,41000.35,smcp,smcp,,0101,0101,,amacron.sc,
LtnSmADiaer.sc,adieresis.sc,41000.36,41000.36,smcp,smcp,,00E4,00E4,,adieresis.sc,
CySmADiaer.sc,uni04D3.sc,41000.361,41000.361,smcp,smcp,,04D3,04D3,,adieresis-cy.sc,
LtnSmADiaerMacron.sc,uni01DF.sc,41000.3635,41000.3635,smcp,smcp,,01DF,01DF,,adieresismacron.sc,
LtnSmADotAbv.sc,uni0227.sc,41000.371,41000.371,smcp,smcp,,0227,0227,,adotaccent.sc,
LtnSmADotAbvMacron.sc,uni01E1.sc,41000.37135,41000.37135,smcp,smcp,,01E1,01E1,,adotmacron.sc,
LtnSmARingAbv.sc,aring.sc,41000.373,41000.373,smcp,smcp,,00E5,00E5,,aring.sc,
LtnSmARingAbvAcute.sc,aringacute.sc,41000.37333,41000.37333,smcp,smcp,,01FB,01FB,,aringacute.sc,
LtnSmARtHalfRing.sc,uni1E9A.sc,41000.374,41000.374,smcp,smcp,,1E9A,1E9A,,arighthalfring.sc,
LtnSmAHookAbv.sc,uni1EA3.sc,41000.38,41000.38,smcp,smcp,,1EA3,1EA3,,ahookabove.sc,
LtnSmAEgAlef.sc,uniA7BB.sc,41000.39,41000.39,smcp,smcp,,A7BB,A7BB,,aglottal.sc,
LtnSmADotBlw.sc,uni1EA1.sc,41000.471,41000.471,smcp,smcp,,1EA1,1EA1,,adotbelow.sc,
LtnSmARingBlw.sc,uni1E01.sc,41000.473,41000.473,smcp,smcp,,1E01,1E01,,aringbelow.sc,
LtnSmAOgonek.sc,aogonek.sc,41000.62,41000.62,smcp,smcp,,0105,0105,,aogonek.sc,
LtnSmAOgonek.RetroHook.sc,aogonek.RetroHook.sc,41000.63,41000.63,smcp,smcp,,0105,0105,,aogonek.RetroHook.sc,
LtnSmAStrk.sc,uni2C65.sc,41000.75,41000.75,smcp,smcp,,2C65,2C65,,astroke.sc,
LtnSmAADigraph.sc,uniA733.sc,41002.1,41002.1,smcp,smcp,,A733,A733,,aa.sc,
LtnSmAODigraph.sc,uniA735.sc,41003.1,41003.1,smcp,smcp,,A735,A735,,ao.sc,
LtnSmAUDigraph.sc,uniA737.sc,41004.1,41004.1,smcp,smcp,,A737,A737,,au.sc,
LtnSmAVDigraph.sc,uniA739.sc,41005.1,41005.1,smcp,smcp,,A739,A739,,av.sc,
LtnSmAVDigraphStrk.sc,uniA73B.sc,41005.75,41005.75,smcp,smcp,,A73B,A73B,,avhorizontalbar.sc,
LtnSmAYDigraph.sc,uniA73D.sc,41006.1,41006.1,smcp,smcp,,A73D,A73D,,ay.sc,
LtnSmTurnedA.sc,uni0250.sc,41009.1,41009.1,smcp,smcp,,0250,0250,,aturned.sc,
LtnSmAlpha.sc,uni0251.sc,41010.1,41010.1,smcp,smcp,,0251,0251,,alpha-latin.sc,
LtnSmA.SngStory.sc,a.SngStory.sc,41010.14,41010.14,smcp,smcp,,0061,0061,,a.SngStory.sc,
LtnSmAAcute.SngStory.sc,aacute.SngStory.sc,41010.14311,41010.14311,smcp,smcp,,00E1,00E1,,aacute.SngStory.sc,
LtnSmACircumAcute.SngStory.VN.sc,uni1EA5.SngStory.VN.sc,41010.14323,41010.14323,smcp,smcp,,1EA5,1EA5,,acircumflexacute.SngStory.VN.sc,
LtnSmACircumGrave.SngStory.VN.sc,uni1EA7.SngStory.VN.sc,41010.14323,41010.14323,smcp,smcp,,1EA7,1EA7,,acircumflexgrave.SngStory.VN.sc,
LtnSmACircumTilde.SngStory.VN.sc,uni1EAB.SngStory.VN.sc,41010.14323,41010.14323,smcp,smcp,,1EAB,1EAB,,acircumflextilde.SngStory.VN.sc,
LtnSmACircumHookAbv.SngStory.VN.sc,uni1EA9.SngStory.VN.sc,41010.14324,41010.14324,smcp,smcp,,1EA9,1EA9,,acircumflexhookabove.SngStory.VN.sc,
LtnSmABreveAcute.SngStory.VN.sc,uni1EAF.SngStory.VN.sc,41010.14332,41010.14332,smcp,smcp,,1EAF,1EAF,,abreveacute.SngStory.VN.sc,
